C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
0.6009	0.8145	0.0624	0	0.2078	0.0342	0.0962	0.1385	0.0123	0.0755	0.9606	0.1539	0.2579	7.8313	0.0536	0.0131	0.0485	0.0449	0.5422	1.1575	0.5806	0.0658	15.3201	1.5594	0	0	0.4702	0.0361	2.2296	0	0.0868	4.3549	0.2032	0.1043	0.0382	0.0204	1.7579	0.0712	1
1.4367	1.7527	0.0079	0.1927	0	0.1797	0.4291	0.2908	0.0905	0.1387	0.7562	0.0646	0.1354	14.5729	0.2252	0.0689	0.0218	0.1729	0.2981	3.9344	0.9141	0.7011	10.8941	1.6369	0.296	0.1258	5.1116	0.1136	4.3884	0	5.4639	1.8446	0.3352	1.2048	0	0	2.0503	0.2242	1
0.4919	2.5045	0.0096	0.2352	0.0666	0.4387	0.8472	0.3929	0	0.1008	0.1026	0	0	2.9646	0.2234	0.0926	0.0089	0.1247	0.1158	2.2246	1.9526	0.0169	6.9653	0.2498	0	0.0128	0.3012	0.1618	2.4997	0	8.5033	0.6853	0.1488	1.6043	0	0	0.5005	0.5472	1
0.2925	0.3806	0.5832	1.9838	4.4605	0.06	0.1264	0.7166	0.0576	0.375	10.1003	0.018	0.0753	0.4852	0.7833	1.0818	0.1619	0.0962	0.0905	3.5096	1.4413	0.0346	8.0833	1.2241	0.1235	0.0233	4.8064	3.7834	10.0127	0.4721	0.5575	0.9373	0.1187	0.7924	0.0446	0.0119	0.7416	0	1
0.9923	0.9957	0.0072	0.176	0.0498	0.0985	0.1844	0.2277	0.0236	0.1207	1.3432	0.0148	0.0155	7.6227	0.0643	0.0945	0.0365	0.0574	0.1362	5.2321	2.5049	0.011	5.9824	0.8527	0.2704	0.201	0.5474	0.2422	4.1421	0	6.1138	1.0622	0.1531	0.8504	0.0183	0.1958	0	0.1194	1
0.4464	1.3259	0.0073	0.1067	0	0.2787	0.4893	0.1035	0.0072	0.0476	0.1862	0.0895	0.0375	5.4501	0.0624	0.0535	0.0242	0.0174	0.3002	3.5251	1.5189	0.0134	2.155	3.2016	0	0.0581	0.8591	0.0629	13.0445	0.094	6.6076	0.6663	0.2194	0.91	0.2996	0	0.2839	0.0621	1
0.6032	0.4683	0.0092	0.0377	0.2133	0.0844	0.0691	0.1219	0.0556	0.0569	0.9533	0.0126	0	1.4132	3.3813	0.1025	0.0142	0.0676	0.0636	1.8788	1.0133	0.0068	4.4143	0.4003	0.0869	0.1148	1.5447	0.0963	4.6928	0.1328	2.3514	1.6002	0.2503	1.0713	0.0549	0.0168	0.1604	0.1608	1
0.4737	4.0814	0.0177	0.2442	0	0.3948	0.0213	0.0702	0.0437	0.1005	4.4018	0.0273	0	3.1572	0.0476	0.1631	0.0061	0.1328	1.8092	0.7822	0.7724	0.0088	1.7533	1.8369	0.1876	0.0886	1.1914	0.544	0.618	0	4.7705	1.9652	0.2317	1.3881	16.4385	0.0362	0.8662	0.1263	1
0.5232	0.6162	0.0081	0	0	0.111	0.013	0.1283	0.02	0.0272	0.822	0.0832	0	5.5149	0.058	0.0355	0.015	0.0243	0.1954	0.7745	0.0784	0.0071	2.0699	0.6189	0.1143	0	1.0708	0.0293	0.9791	0	1.1252	1.6929	0.0941	0.6767	0.0619	0.4415	0.1583	0.0192	1
0.0741	1.646	0.0078	0.1223	0.0231	0.3194	0.0107	0.167	0.0109	0.0727	0.8178	0.0137	0.0716	1.2649	0.0119	0.0933	0.0154	0.2128	0.0229	0.1714	0	0.0438	1.4268	1.3095	0.0626	0.0089	0.7757	0.7773	0.7427	0.5744	1.0404	0.7126	0.3094	0.7415	0.0254	0.0363	0.3904	0.0158	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0594	0	0.3339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.8903	0.3514	0.0039	0.36	0	0.0537	0.4527	0.2638	0.995	0.3456	1.507	0.0483	0	2.9785	0	0.1339	0.0217	0.094	0.2228	4.4101	3.074	0.031	3.6828	0.8027	0.1106	0.5482	1.1591	0.1557	10.3846	0.1268	2.3818	2.637	0.0455	1.8825	0.015	0.0481	0.2298	0.1117	0
