C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
18	11	18	2	0	7	1	45	4	73	15	0	0	14	4	3	1	2	10	22	2	6	41	29	3	5	54	116	29	1	38	29	6	14	0	0	2	3	1
31	65	6	0	0	2	41	5	9	47	30	2	4	167	0	17	1	62	21	63	7	330	134	45	0	1	65	4	16	2	71	11	13	23	0	23	4	3	1
8	23	1	7	18	5	6	0	1	0	22	0	0	21	15	4	38	0	9	48	3	1	16	55	3	1	3	7	4	4	80	5	2	7	0	9	0	3	1
15	36	2	1	1	13	4	13	4	20	12	2	0	36	23	4	2	7	16	29	7	17	80	39	1	2	78	106	22	0	59	14	4	17	88	0	17	2	1
73	16	0	3	0	8	37	24	1	65	67	0	0	41	4	31	0	68	76	57	8	268	43	29	6	14	38	23	77	6	75	16	9	31	0	1	5	4	1
38	22	42	3	1	6	10	18	21	46	409	0	0	35	2	11	140	36	80	124	21	16	27	4	2	35	31	25	25	1	77	18	4	10	0	4	1	1	1
25	28	44	1	2	4	2	11	358	47	508	1	0	10	2	24	2	5	175	48	8	17	21	60	5	2	61	5	11	0	136	34	11	8	1	7	7	6	1
15	6	2	0	0	13	0	0	19	0	5	4	1	59	53	4	1	2	0	15	4	22	6	52	0	5	19	3	3	0	53	17	7	19	0	0	0	0	1
37	33	2	2	1	8	10	16	11	31	3	6	3	13	1	4	0	53	7	81	15	48	24	95	6	1	33	30	18	2	132	31	12	29	1	3	16	3	1
16	10	7	2	1	11	3	11	15	8	45	0	0	74	12	0	20	12	10	51	7	28	38	32	0	0	13	16	22	0	28	18	2	7	0	0	0	2	1
9	26	3	2	0	10	0	5	2	3	3	0	2	31	1	1	1	5	4	18	2	8	17	429	0	2	47	26	1	2	27	15	8	34	0	3	0	0	1
13	33	28	122	106	3	0	256	17	265	49	5	74	17	33	744	9	25	14	105	19	196	109	69	2	3	53	130	36	217	15	27	19	37	0	63	16	1	1
19	41	15	2	0	5	3	16	2	46	70	11	2	11	1	9	115	242	4	26	11	215	11	248	3	1	231	11	4	2	44	43	11	35	1	1	9	2	1
17	38	7	4	0	5	45	15	5	19	24	2	1	36	0	27	1	25	32	53	8	27	24	27	5	9	43	23	13	0	37	13	4	19	0	0	3	6	1
30	26	2	4	1	5	4	91	1	164	124	1	2	18	2	7	0	9	21	105	22	9	31	17	2	7	24	8	26	14	65	14	8	32	18	127	12	2	1
10	7	0	0	1	32	0	0	0	1	129	1	8	39	1	2	1	2	6	12	1	3	8	37	3	2	5	5	7	0	15	12	10	16	0	0	0	2	1
11	2	3	0	0	42	2	0	2	1	50	6	1	12	12	4	4	3	1	11	2	0	26	12	7	3	22	59	23	0	30	12	19	25	0	24	0	5	1
37	13	3	1	0	34	12	5	0	3	8	2	4	16	1	5	5	5	1	21	1	1	12	41	5	8	25	22	38	0	40	22	3	41	0	1	0	3	1
13	52	2	65	13	3	2	579	1	20	722	0	0	48	51	4	0	1	8	35	2	2	48	238	2	1	307	9	32	0	44	13	18	5	6	1	6	7	1
5	68	12	0	24	7	1	8	2	79	35	6	11	22	19	25	4	58	5	13	4	28	17	207	2	3	131	137	6	1	19	20	15	22	0	16	5	0	1
48	40	0	1	0	11	7	16	174	390	244	0	0	61	4	3	71	1093	21	106	22	6	92	33	2	20	27	15	10	150	81	48	7	18	0	0	9	1	1
34	6	12	27	0	7	2	1	1	1	246	0	1	48	7	0	709	33	2	16	2	14	25	22	1	0	48	13	13	10	18	28	5	6	0	10	0	4	1
32	48	2	1	1	7	0	18	3	42	5	5	15	29	1	15	2	7	10	32	9	47	6	92	1	1	63	34	5	0	46	5	4	7	1278	4	179	0	1
24	10	4	1	12	26	9	1	1	3	0	12	0	39	18	1	6	1	1	146	19	3	72	223	2	2	6	18	22	1	77	9	4	5	0	0	0	2	1
36	54	39	0	1	8	41	1	1	1	669	0	0	152	84	4	56	8	54	61	9	1	26	781	3	6	19	5	23	7	124	11	12	23	0	11	0	5	1
12	14	3	0	0	8	0	2	0	3	5	2	0	6	13	3	0	0	9	16	2	2	51	61	3	12	11	8	10	0	22	12	1	11	0	0	0	4	1
14	38	17	1	0	6	6	16	41	24	17	0	1	10	0	33	0	38	13	35	6	8	19	319	4	3	39	31	13	2	22	22	11	35	0	3	4	2	1
